locus_tag	ftype	length_bp	gene	EC_number	COG	product
OAIAJOLK_00055	CDS	2640				aminopeptidase N [Thiopseudomonas alkaliphila]
OAIAJOLK_00056	CDS	1119				S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase [Thiopseudomonas alkaliphila]
OAIAJOLK_00057	CDS	861				S-formylglutathione hydrolase [Thiopseudomonas alkaliphila]
OAIAJOLK_00058	CDS	474				transcription elongation factor GreB [Thiopseudomonas alkaliphila]
OAIAJOLK_00059	CDS	660				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00060	CDS	930				pirin family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00061	CDS	630				hydrolase [Thiopseudomonas alkaliphila]
OAIAJOLK_00062	CDS	2490				FtsX-like permease family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00063	CDS	675				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00064	CDS	621				arylesterase [Thiopseudomonas alkaliphila]
OAIAJOLK_00065	CDS	336				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00066	CDS	1326				TRZ/ATZ family hydrolase [Thiopseudomonas alkaliphila]
OAIAJOLK_00067	CDS	282				HU family DNA-binding protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00068	CDS	705				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00069	CDS	768				high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG [Thiopseudomonas alkaliphila]
OAIAJOLK_00070	CDS	1257				high-affinity branched-chain amino acid ABC transporter permease LivM [Thiopseudomonas alkaliphila]
OAIAJOLK_00071	CDS	927				high-affinity branched-chain amino acid ABC transporter permease LivH [Thiopseudomonas alkaliphila]
OAIAJOLK_00072	CDS	1125				branched-chain amino acid ABC transporter substrate-binding protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00073	CDS	687				ribonuclease T [Thiopseudomonas alkaliphila]
OAIAJOLK_00074	CDS	1047				dihydroorotase [Thiopseudomonas alkaliphila]
OAIAJOLK_00075	CDS	1215				argininosuccinate synthase [Thiopseudomonas alkaliphila]
OAIAJOLK_00076	CDS	393				lactoylglutathione lyase [Thiopseudomonas alkaliphila]
OAIAJOLK_00077	CDS	147				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00078	CDS	1218				MFS transporter [Thiopseudomonas alkaliphila]
OAIAJOLK_00079	CDS	645				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00080	CDS	744				YciK family oxidoreductase [Thiopseudomonas alkaliphila]
OAIAJOLK_00081	CDS	684				HAD-IA family hydrolase [Thiopseudomonas alkaliphila]
OAIAJOLK_00082	CDS	702				bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG [Thiopseudomonas alkaliphila]
OAIAJOLK_00083	CDS	1008				sulfate ABC transporter substrate-binding protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00084	CDS	1293				NCS2 family permease [Thiopseudomonas alkaliphila]
OAIAJOLK_00085	CDS	561				superoxide dismutase family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00086	CDS	879				LysR family transcriptional regulator [Thiopseudomonas alkaliphila]
OAIAJOLK_00087	CDS	1425				3-isopropylmalate dehydratase large subunit [Thiopseudomonas alkaliphila]
OAIAJOLK_00088	CDS	648				3-isopropylmalate dehydratase small subunit [Thiopseudomonas alkaliphila]
OAIAJOLK_00089	CDS	1083				3-isopropylmalate dehydrogenase [Thiopseudomonas alkaliphila]
OAIAJOLK_00090	CDS	1113				aspartate-semialdehyde dehydrogenase [Thiopseudomonas alkaliphila]
OAIAJOLK_00091	CDS	1140				cation diffusion facilitator family transporter [Thiopseudomonas alkaliphila]
OAIAJOLK_00092	CDS	408				MliC family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00093	CDS	837				mechanosensitive ion channel [Thiopseudomonas alkaliphila]
OAIAJOLK_00094	CDS	606				cytochrome c biogenesis heme-transporting ATPase CcmA [Thiopseudomonas alkaliphila]
OAIAJOLK_00095	CDS	669				heme exporter protein CcmB [Thiopseudomonas alkaliphila]
OAIAJOLK_00096	CDS	750				heme ABC transporter permease [Thiopseudomonas alkaliphila]
OAIAJOLK_00097	CDS	177				heme exporter protein CcmD [Thiopseudomonas alkaliphila]
OAIAJOLK_00098	CDS	504				cytochrome c maturation protein CcmE [Thiopseudomonas alkaliphila]
OAIAJOLK_00099	CDS	1995				heme lyase CcmF/NrfE family subunit [Thiopseudomonas alkaliphila]
OAIAJOLK_00100	CDS	540				DsbE family thiol:disulfide interchange protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00101	CDS	501				cytochrome c-type biogenesis protein CcmH [Thiopseudomonas alkaliphila]
OAIAJOLK_00102	CDS	1245				c-type cytochrome biogenesis protein CcmI [Thiopseudomonas alkaliphila]
OAIAJOLK_00103	CDS	960				putative 2-dehydropantoate 2-reductase [Thiopseudomonas alkaliphila]
OAIAJOLK_00104	CDS	624				OmpA family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00105	CDS	654				pyridoxamine 5'-phosphate oxidase [Thiopseudomonas alkaliphila]
OAIAJOLK_00106	CDS	261				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00107	CDS	462				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00108	CDS	921				universal stress protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00109	CDS	951				rhodanese-like domain-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00110	CDS	1092				YeeE/YedE family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00111	CDS	168				hypothetical protein
OAIAJOLK_00112	CDS	111				hypothetical protein
OAIAJOLK_00113	CDS	270				hypothetical protein
OAIAJOLK_00114	CDS	3696				methionine synthase [Thiopseudomonas alkaliphila]
OAIAJOLK_00115	CDS	2292				fatty acid cis/trans isomerase [Thiopseudomonas alkaliphila]
OAIAJOLK_00116	CDS	249				glutaredoxin family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00117	CDS	774				ferredoxin--NADP reductase [Thiopseudomonas alkaliphila]
OAIAJOLK_00118	CDS	2376				insulinase family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00119	CDS	2175				bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL [Thiopseudomonas alkaliphila]
OAIAJOLK_00120	CDS	1134				pseudouridine synthase [Thiopseudomonas alkaliphila]
OAIAJOLK_00121	CDS	2337				membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family [Thiopseudomonas alkaliphila]
OAIAJOLK_00122	CDS	2610				bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Thiopseudomonas alkaliphila]
OAIAJOLK_00123	CDS	705				4'-phosphopantetheinyl transferase superfamily protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00124	CDS	942				tRNA dihydrouridine(20/20a) synthase DusA [Thiopseudomonas alkaliphila]
OAIAJOLK_00125	CDS	876				WYL domain-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00126	CDS	780				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00127	CDS	543				hypothetical protein
OAIAJOLK_00128	CDS	3468				BREX system P-loop protein BrxC [Thiopseudomonas alkaliphila]
OAIAJOLK_00129	CDS	3483				N-6 DNA methylase [Thiopseudomonas alkaliphila]
OAIAJOLK_00130	CDS	1683				hypothetical protein
OAIAJOLK_00131	CDS	1110				AAA family ATPase [Thiopseudomonas alkaliphila]
OAIAJOLK_00132	CDS	675				hypothetical protein
OAIAJOLK_00133	CDS	846				Abi family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00134	CDS	2319				BREX-1 system phosphatase PglZ type B [Thiopseudomonas alkaliphila]
OAIAJOLK_00135	CDS	2049				protease Lon-related BREX system protein BrxL [Thiopseudomonas alkaliphila]
OAIAJOLK_00136	CDS	336				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00137	tRNA	90				tRNA-Ser(gga)
OAIAJOLK_00138	CDS	393				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00139	CDS	372				phage holin family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00140	CDS	315				hypothetical protein
OAIAJOLK_00141	CDS	3495				exodeoxyribonuclease V subunit gamma [Thiopseudomonas alkaliphila]
OAIAJOLK_00142	CDS	3741				exodeoxyribonuclease V subunit beta [Thiopseudomonas alkaliphila]
OAIAJOLK_00143	CDS	2076				exodeoxyribonuclease V subunit alpha [Thiopseudomonas alkaliphila]
OAIAJOLK_00144	CDS	321				heavy metal-binding domain-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00145	CDS	276				GNAT family N-acetyltransferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00146	CDS	918				transaldolase [Thiopseudomonas alkaliphila]
OAIAJOLK_00147	CDS	948				folate-binding protein YgfZ [Thiopseudomonas alkaliphila]
OAIAJOLK_00148	CDS	270				succinate dehydrogenase assembly factor 2 [Thiopseudomonas alkaliphila]
OAIAJOLK_00149	CDS	1641				L-aspartate oxidase [Thiopseudomonas alkaliphila]
OAIAJOLK_00150	CDS	789				enoyl-CoA hydratase [Thiopseudomonas alkaliphila]
OAIAJOLK_00151	CDS	162				hypothetical protein
OAIAJOLK_00152	CDS	900				GNAT family N-acetyltransferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00153	CDS	1431				PIG-L family deacetylase [Thiopseudomonas alkaliphila]
OAIAJOLK_00154	CDS	1374				sigma-54 dependent transcriptional regulator [Thiopseudomonas alkaliphila]
OAIAJOLK_00155	CDS	2988				sensor histidine kinase [Thiopseudomonas alkaliphila]
OAIAJOLK_00156	CDS	180				hypothetical protein
OAIAJOLK_00157	CDS	1413				dihydrolipoyl dehydrogenase [Thiopseudomonas alkaliphila]
OAIAJOLK_00158	CDS	582				RNA polymerase sigma factor RpoE [Thiopseudomonas alkaliphila]
OAIAJOLK_00159	CDS	615				sigma-E factor negative regulatory protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00160	CDS	978				hypothetical protein
OAIAJOLK_00161	CDS	471				SoxR reducing system RseC family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00162	CDS	1416				DegQ family serine endoprotease [Thiopseudomonas alkaliphila]
OAIAJOLK_00163	CDS	1800				translation elongation factor 4 [Thiopseudomonas alkaliphila]
OAIAJOLK_00164	CDS	855				signal peptidase I [Thiopseudomonas alkaliphila]
OAIAJOLK_00165	CDS	696				ribonuclease III [Thiopseudomonas alkaliphila]
OAIAJOLK_00166	CDS	891				GTPase Era [Thiopseudomonas alkaliphila]
OAIAJOLK_00167	CDS	666				DNA repair protein RecO [Thiopseudomonas alkaliphila]
OAIAJOLK_00168	CDS	744				pyridoxine 5'-phosphate synthase [Thiopseudomonas alkaliphila]
OAIAJOLK_00169	CDS	651				TetR/AcrR family transcriptional regulator [Thiopseudomonas alkaliphila]
OAIAJOLK_00170	CDS	894				radical SAM protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00171	CDS	594				hypothetical protein
OAIAJOLK_00172	CDS	939				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00173	CDS	780				ABC transporter permease [Thiopseudomonas alkaliphila]
OAIAJOLK_00174	CDS	663				C40 family peptidase [Thiopseudomonas alkaliphila]
OAIAJOLK_00175	CDS	519				C40 family peptidase [Thiopseudomonas alkaliphila]
OAIAJOLK_00176	CDS	1206				tryptophan synthase subunit beta [Thiopseudomonas alkaliphila]
OAIAJOLK_00177	CDS	366				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00178	CDS	1338				HAMP domain-containing sensor histidine kinase [Thiopseudomonas alkaliphila]
OAIAJOLK_00179	CDS	513				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00180	CDS	702				response regulator transcription factor [Thiopseudomonas alkaliphila]
OAIAJOLK_00181	CDS	297				YciI family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00182	CDS	642				septation protein A [Thiopseudomonas alkaliphila]
OAIAJOLK_00183	CDS	840				PHP domain-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00184	CDS	624				L-threonylcarbamoyladenylate synthase [Thiopseudomonas alkaliphila]
OAIAJOLK_00185	CDS	825				ScpA family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00186	CDS	741				SMC-Scp complex subunit ScpB [Thiopseudomonas alkaliphila]
OAIAJOLK_00187	CDS	1920				prolyl oligopeptidase family serine peptidase [Thiopseudomonas alkaliphila]
OAIAJOLK_00188	CDS	1155				pyrroloquinoline quinone biosynthesis protein PqqE [Thiopseudomonas alkaliphila]
OAIAJOLK_00189	CDS	279				pyrroloquinoline quinone biosynthesis peptide chaperone PqqD [Thiopseudomonas alkaliphila]
OAIAJOLK_00190	CDS	756				pyrroloquinoline-quinone synthase PqqC [Thiopseudomonas alkaliphila]
OAIAJOLK_00191	CDS	915				pyrroloquinoline quinone biosynthesis protein PqqB [Thiopseudomonas alkaliphila]
OAIAJOLK_00192	CDS	1521				aldehyde dehydrogenase [Thiopseudomonas alkaliphila]
OAIAJOLK_00193	CDS	936				quinoprotein relay system zinc metallohydrolase 1 [Thiopseudomonas alkaliphila]
OAIAJOLK_00194	CDS	765				quinoprotein dehydrogenase-associated SoxYZ-like carrier [Thiopseudomonas alkaliphila]
OAIAJOLK_00195	CDS	435				cytochrome c-550 PedF [Thiopseudomonas alkaliphila]
OAIAJOLK_00196	CDS	1857				quinoprotein ethanol dehydrogenase [Thiopseudomonas alkaliphila]
OAIAJOLK_00197	CDS	645				pentapeptide repeat-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00198	CDS	639				response regulator transcription factor [Thiopseudomonas alkaliphila]
OAIAJOLK_00199	CDS	555				rhodanese-like domain-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00200	CDS	660				response regulator transcription factor [Thiopseudomonas alkaliphila]
OAIAJOLK_00201	CDS	2631				PAS domain-containing hybrid sensor histidine kinase/response regulator [Thiopseudomonas alkaliphila]
OAIAJOLK_00202	CDS	1161				hypothetical protein
OAIAJOLK_00203	CDS	1179				porin [Thiopseudomonas alkaliphila]
OAIAJOLK_00204	CDS	1332				deoxyguanosinetriphosphate triphosphohydrolase [Thiopseudomonas alkaliphila]
OAIAJOLK_00205	CDS	906				ADP-ribosylglycohydrolase family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00206	CDS	204				hypothetical protein
OAIAJOLK_00207	CDS	1041				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00208	CDS	642				TerB family tellurite resistance protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00209	CDS	387				IS3 family transposase [Thiopseudomonas alkaliphila]
OAIAJOLK_00210	CDS	816				IS3 family transposase [Thiopseudomonas alkaliphila]
OAIAJOLK_00211	CDS	954				5'-nucleotidase [Thiopseudomonas alkaliphila]
OAIAJOLK_00212	CDS	3393				AAA family ATPase [Thiopseudomonas alkaliphila]
OAIAJOLK_00213	CDS	1248				exonuclease subunit SbcD [Thiopseudomonas alkaliphila]
OAIAJOLK_00214	CDS	285				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00215	CDS	1107				AI-2E family transporter [Thiopseudomonas alkaliphila]
OAIAJOLK_00216	CDS	777				hypothetical protein
OAIAJOLK_00217	CDS	660				hypothetical protein
OAIAJOLK_00218	CDS	876				alpha/beta fold hydrolase [Thiopseudomonas alkaliphila]
OAIAJOLK_00219	CDS	486				phosphohistidine phosphatase SixA [Thiopseudomonas alkaliphila]
OAIAJOLK_00220	CDS	330				hypothetical protein
OAIAJOLK_00221	CDS	1017				NAD(P)H-dependent glycerol-3-phosphate dehydrogenase [Thiopseudomonas alkaliphila]
OAIAJOLK_00222	CDS	1494				HAMP domain-containing histidine kinase [Thiopseudomonas alkaliphila]
OAIAJOLK_00223	CDS	630				transcriptional repressor LexA [Thiopseudomonas alkaliphila]
OAIAJOLK_00224	CDS	486				SulA-like leucine-rich domain-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00225	CDS	1485				glutamate--tRNA ligase [Thiopseudomonas alkaliphila]
OAIAJOLK_00226	CDS	1194				MFS transporter [Thiopseudomonas alkaliphila]
OAIAJOLK_00227	CDS	882				peptidoglycan DD-metalloendopeptidase family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00228	CDS	945				hypothetical protein
OAIAJOLK_00229	CDS	648				protein-L-isoaspartate(D-aspartate) O-methyltransferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00230	CDS	750				5'/3'-nucleotidase SurE [Thiopseudomonas alkaliphila]
OAIAJOLK_00231	CDS	1047				tRNA pseudouridine(13) synthase TruD [Thiopseudomonas alkaliphila]
OAIAJOLK_00232	CDS	474				2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Thiopseudomonas alkaliphila]
OAIAJOLK_00233	CDS	1224				serine/threonine transporter SstT [Thiopseudomonas alkaliphila]
OAIAJOLK_00234	CDS	3681				translocation/assembly module TamB domain-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00235	CDS	1722				autotransporter assembly complex protein TamA [Thiopseudomonas alkaliphila]
OAIAJOLK_00236	CDS	816				exodeoxyribonuclease III [Thiopseudomonas alkaliphila]
OAIAJOLK_00237	CDS	918				bestrophin family ion channel [Thiopseudomonas alkaliphila]
OAIAJOLK_00238	CDS	2601				DNA mismatch repair protein MutS [Thiopseudomonas alkaliphila]
OAIAJOLK_00239	CDS	324				ferredoxin family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00240	CDS	606				IS3 family transposase [Thiopseudomonas alkaliphila]
OAIAJOLK_00241	CDS	138				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00242	CDS	840				site-specific DNA-methyltransferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00243	CDS	852				Dam family site-specific DNA-(adenine-N6)-methyltransferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00244	CDS	927				type II restriction endonuclease [Thiopseudomonas alkaliphila]
OAIAJOLK_00245	CDS	144				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00246	CDS	312				hypothetical protein
OAIAJOLK_00247	CDS	216				hypothetical protein
OAIAJOLK_00248	CDS	1134				pseudouridine synthase [Thiopseudomonas alkaliphila]
OAIAJOLK_00249	CDS	2331				membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family [Thiopseudomonas alkaliphila]
OAIAJOLK_00250	CDS	2610				bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Thiopseudomonas alkaliphila]
OAIAJOLK_00251	CDS	705				4'-phosphopantetheinyl transferase superfamily protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00252	CDS	822				tRNA dihydrouridine(20/20a) synthase DusA [Thiopseudomonas alkaliphila]
OAIAJOLK_00253	CDS	216	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
OAIAJOLK_00254	CDS	1065				transposase [Thiopseudomonas alkaliphila]
OAIAJOLK_00255	CDS	417				IS200/IS605 family transposase [Thiopseudomonas alkaliphila]
OAIAJOLK_00256	CDS	336				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00257	tRNA	90				tRNA-Ser(gga)
OAIAJOLK_00258	CDS	393				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00259	CDS	372				phage holin family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00260	CDS	315				hypothetical protein
OAIAJOLK_00261	CDS	3495				exodeoxyribonuclease V subunit gamma [Thiopseudomonas alkaliphila]
OAIAJOLK_00262	CDS	1182				exodeoxyribonuclease V subunit beta [Thiopseudomonas alkaliphila]
OAIAJOLK_00263	CDS	2073				exodeoxyribonuclease V subunit beta [Thiopseudomonas alkaliphila]
OAIAJOLK_00264	CDS	282				PD-(D/E)XK nuclease family protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00265	CDS	2040				exodeoxyribonuclease V subunit alpha [Thiopseudomonas alkaliphila]
OAIAJOLK_00266	CDS	321				heavy metal-binding domain-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00267	CDS	276				GNAT family N-acetyltransferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00268	CDS	918				transaldolase [Thiopseudomonas alkaliphila]
OAIAJOLK_00269	CDS	948				folate-binding protein YgfZ [Thiopseudomonas alkaliphila]
OAIAJOLK_00270	CDS	270				succinate dehydrogenase assembly factor 2 [Thiopseudomonas alkaliphila]
OAIAJOLK_00271	CDS	345				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00272	CDS	1641				L-aspartate oxidase [Thiopseudomonas alkaliphila]
OAIAJOLK_00273	CDS	789				enoyl-CoA hydratase [Thiopseudomonas alkaliphila]
OAIAJOLK_00274	CDS	900				GNAT family N-acetyltransferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00275	CDS	1431				PIG-L family deacetylase [Thiopseudomonas alkaliphila]
OAIAJOLK_00276	CDS	1374				sigma-54 dependent transcriptional regulator [Thiopseudomonas alkaliphila]
OAIAJOLK_00277	CDS	2988				sensor histidine kinase [Thiopseudomonas alkaliphila]
OAIAJOLK_00278	CDS	180				hypothetical protein
OAIAJOLK_00279	CDS	1413				dihydrolipoyl dehydrogenase [Thiopseudomonas alkaliphila]
OAIAJOLK_00280	CDS	582				RNA polymerase sigma factor RpoE [Thiopseudomonas alkaliphila]
OAIAJOLK_00281	CDS	615				sigma-E factor negative regulatory protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00282	CDS	687				hypothetical protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00283	CDS	1059				histidinol-phosphate transaminase [Thiopseudomonas alkaliphila]
OAIAJOLK_00284	CDS	1323				histidinol dehydrogenase [Thiopseudomonas alkaliphila]
OAIAJOLK_00285	CDS	636				ATP phosphoribosyltransferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00286	CDS	1266				UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Thiopseudomonas alkaliphila]
OAIAJOLK_00287	CDS	240				BolA/IbaG family iron-sulfur metabolism protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00288	CDS	309				STAS domain-containing protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00289	CDS	633				ABC transporter substrate-binding protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00290	CDS	471				outer membrane lipid asymmetry maintenance protein MlaD [Thiopseudomonas alkaliphila]
OAIAJOLK_00291	CDS	798				lipid asymmetry maintenance ABC transporter permease subunit MlaE [Thiopseudomonas alkaliphila]
OAIAJOLK_00292	CDS	810				ABC transporter ATP-binding protein [Thiopseudomonas alkaliphila]
OAIAJOLK_00293	CDS	975				KpsF/GutQ family sugar-phosphate isomerase [Thiopseudomonas alkaliphila]
