Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,GCF_001267175_1_ASM126717v1_genomic_gff,GCF_001267195_1_ASM126719v1_genomic_gff,GCF_001267215_1_ASM126721v1_genomic_gff,GCF_001267255_1_ASM126725v1_genomic_gff,GCF_001267275_1_ASM126727v1_genomic_gff,GCF_001267295_1_ASM126729v1_genomic_gff,GCF_001267315_1_ASM126731v1_genomic_gff,GCF_030328955_1_ASM3032895v1_genomic_gff,GCF_030328995_1_ASM3032899v1_genomic_gff,GCF_030329025_1_ASM3032902v1_genomic_gff
WP_053105332.1,,ADP-ribosylglycohydrolase family protein,10,10,1,78,3379,,,,905,905,905,9b7e70dc9c6ece2c05dcc2e656b22969_1162,f703f9607fd873072b58ff69da1f6298_1100,7939b8df5802c39c46adb1416b02880c_3541,5b8d0eb8742d50487a1e3a28fa195a18_949,4291979d325094cc7b4bce3cd2bb2024_420,a077d878693c9fd52ed3dbbed690b74f_375,03f798c6314f9895224cd16f8bb35aa0_380,0cad7609a72f054f1e5a773edfee880c_3034,b950933d1ddb7e03141c7b304a24a0b6_3866,f8e40b63109f8c40a69745e5931a1674_1188
ybaK,,Cys-tRNA(Pro) deacylase,10,10,1,78,3268,,,,263,476,433,9b7e70dc9c6ece2c05dcc2e656b22969_1427,f703f9607fd873072b58ff69da1f6298_1284,7939b8df5802c39c46adb1416b02880c_3731,5b8d0eb8742d50487a1e3a28fa195a18_765,4291979d325094cc7b4bce3cd2bb2024_645,a077d878693c9fd52ed3dbbed690b74f_547,03f798c6314f9895224cd16f8bb35aa0_563,0cad7609a72f054f1e5a773edfee880c_2850,b950933d1ddb7e03141c7b304a24a0b6_3,f8e40b63109f8c40a69745e5931a1674_1000
WP_053099651.1,,DUF934 domain-containing protein,10,10,1,78,3251,,,,518,524,523,9b7e70dc9c6ece2c05dcc2e656b22969_1464,f703f9607fd873072b58ff69da1f6298_1321,7939b8df5802c39c46adb1416b02880c_3768,5b8d0eb8742d50487a1e3a28fa195a18_728,4291979d325094cc7b4bce3cd2bb2024_688,a077d878693c9fd52ed3dbbed690b74f_586,03f798c6314f9895224cd16f8bb35aa0_602,0cad7609a72f054f1e5a773edfee880c_2811,b950933d1ddb7e03141c7b304a24a0b6_40,f8e40b63109f8c40a69745e5931a1674_961
WP_053102507.1,,hypothetical protein,10,10,1,78,3221,,,,1061,1061,1061,9b7e70dc9c6ece2c05dcc2e656b22969_1522,f703f9607fd873072b58ff69da1f6298_1379,7939b8df5802c39c46adb1416b02880c_3826,5b8d0eb8742d50487a1e3a28fa195a18_670,4291979d325094cc7b4bce3cd2bb2024_746,a077d878693c9fd52ed3dbbed690b74f_644,03f798c6314f9895224cd16f8bb35aa0_660,0cad7609a72f054f1e5a773edfee880c_2753,b950933d1ddb7e03141c7b304a24a0b6_98,f8e40b63109f8c40a69745e5931a1674_903
WP_053105605.1,,hypothetical protein,10,10,1,78,2966,,,,359,359,359,9b7e70dc9c6ece2c05dcc2e656b22969_1856,f703f9607fd873072b58ff69da1f6298_1705,7939b8df5802c39c46adb1416b02880c_4214,5b8d0eb8742d50487a1e3a28fa195a18_330,4291979d325094cc7b4bce3cd2bb2024_1164,a077d878693c9fd52ed3dbbed690b74f_974,03f798c6314f9895224cd16f8bb35aa0_1044,0cad7609a72f054f1e5a773edfee880c_3667,b950933d1ddb7e03141c7b304a24a0b6_4379,f8e40b63109f8c40a69745e5931a1674_562
WP_080997011.1,,cobalamin-binding protein,10,10,1,78,2963,,,,926,926,926,9b7e70dc9c6ece2c05dcc2e656b22969_1863,f703f9607fd873072b58ff69da1f6298_1712,7939b8df5802c39c46adb1416b02880c_4221,5b8d0eb8742d50487a1e3a28fa195a18_323,4291979d325094cc7b4bce3cd2bb2024_1171,a077d878693c9fd52ed3dbbed690b74f_981,03f798c6314f9895224cd16f8bb35aa0_1051,0cad7609a72f054f1e5a773edfee880c_3660,b950933d1ddb7e03141c7b304a24a0b6_4386,f8e40b63109f8c40a69745e5931a1674_555
bluB,,"5,6-dimethylbenzimidazole synthase",10,10,1,78,2958,,,,713,713,713,9b7e70dc9c6ece2c05dcc2e656b22969_1873,f703f9607fd873072b58ff69da1f6298_1722,7939b8df5802c39c46adb1416b02880c_4231,5b8d0eb8742d50487a1e3a28fa195a18_313,4291979d325094cc7b4bce3cd2bb2024_1181,a077d878693c9fd52ed3dbbed690b74f_991,03f798c6314f9895224cd16f8bb35aa0_1061,0cad7609a72f054f1e5a773edfee880c_3650,b950933d1ddb7e03141c7b304a24a0b6_4396,f8e40b63109f8c40a69745e5931a1674_545
WP_053100006.1,,lytic transglycosylase domain-containing protein,10,10,1,78,2873,,,,515,680,655,9b7e70dc9c6ece2c05dcc2e656b22969_2023,f703f9607fd873072b58ff69da1f6298_1868,7939b8df5802c39c46adb1416b02880c_4377,5b8d0eb8742d50487a1e3a28fa195a18_163,4291979d325094cc7b4bce3cd2bb2024_1321,a077d878693c9fd52ed3dbbed690b74f_1139,03f798c6314f9895224cd16f8bb35aa0_1201,0cad7609a72f054f1e5a773edfee880c_829,b950933d1ddb7e03141c7b304a24a0b6_1185,f8e40b63109f8c40a69745e5931a1674_405
WP_053102678.1,,histidine phosphatase family protein,10,10,1,78,2858,,,,569,569,569,9b7e70dc9c6ece2c05dcc2e656b22969_2046,f703f9607fd873072b58ff69da1f6298_1889,7939b8df5802c39c46adb1416b02880c_4398,5b8d0eb8742d50487a1e3a28fa195a18_142,4291979d325094cc7b4bce3cd2bb2024_1342,a077d878693c9fd52ed3dbbed690b74f_1160,03f798c6314f9895224cd16f8bb35aa0_1222,0cad7609a72f054f1e5a773edfee880c_850,b950933d1ddb7e03141c7b304a24a0b6_1206,f8e40b63109f8c40a69745e5931a1674_384
WP_053102709.1,,hypothetical protein,10,10,1,78,2793,,,,368,368,368,9b7e70dc9c6ece2c05dcc2e656b22969_2166,f703f9607fd873072b58ff69da1f6298_1999,7939b8df5802c39c46adb1416b02880c_4498,5b8d0eb8742d50487a1e3a28fa195a18_42,4291979d325094cc7b4bce3cd2bb2024_1440,a077d878693c9fd52ed3dbbed690b74f_1258,03f798c6314f9895224cd16f8bb35aa0_1330,0cad7609a72f054f1e5a773edfee880c_948,b950933d1ddb7e03141c7b304a24a0b6_1306,f8e40b63109f8c40a69745e5931a1674_286
WP_231692582.1,,MGMT family protein,10,10,1,78,2723,,,,299,299,299,9b7e70dc9c6ece2c05dcc2e656b22969_2298,f703f9607fd873072b58ff69da1f6298_4396,7939b8df5802c39c46adb1416b02880c_101,5b8d0eb8742d50487a1e3a28fa195a18_2186,4291979d325094cc7b4bce3cd2bb2024_3807,a077d878693c9fd52ed3dbbed690b74f_3813,03f798c6314f9895224cd16f8bb35aa0_1462,0cad7609a72f054f1e5a773edfee880c_1759,b950933d1ddb7e03141c7b304a24a0b6_805,f8e40b63109f8c40a69745e5931a1674_15
WP_053104773.1,,AEC family transporter,10,10,1,78,2668,,,,935,935,935,9b7e70dc9c6ece2c05dcc2e656b22969_2379,f703f9607fd873072b58ff69da1f6298_4341,7939b8df5802c39c46adb1416b02880c_156,5b8d0eb8742d50487a1e3a28fa195a18_2241,4291979d325094cc7b4bce3cd2bb2024_3752,a077d878693c9fd52ed3dbbed690b74f_3758,03f798c6314f9895224cd16f8bb35aa0_1561,0cad7609a72f054f1e5a773edfee880c_1814,b950933d1ddb7e03141c7b304a24a0b6_1764,f8e40b63109f8c40a69745e5931a1674_2368
WP_053100287.1,,ABC transporter ATP-binding protein,10,10,1,78,2598,,,,707,722,717,9b7e70dc9c6ece2c05dcc2e656b22969_2496,f703f9607fd873072b58ff69da1f6298_4225,7939b8df5802c39c46adb1416b02880c_273,5b8d0eb8742d50487a1e3a28fa195a18_2355,4291979d325094cc7b4bce3cd2bb2024_3638,a077d878693c9fd52ed3dbbed690b74f_3644,03f798c6314f9895224cd16f8bb35aa0_1675,0cad7609a72f054f1e5a773edfee880c_1940,b950933d1ddb7e03141c7b304a24a0b6_1822,f8e40b63109f8c40a69745e5931a1674_2482
WP_053108429.1,,type IV pilin protein,10,10,1,78,2557,,,,404,404,404,9b7e70dc9c6ece2c05dcc2e656b22969_2584,f703f9607fd873072b58ff69da1f6298_4137,7939b8df5802c39c46adb1416b02880c_361,5b8d0eb8742d50487a1e3a28fa195a18_2443,4291979d325094cc7b4bce3cd2bb2024_3550,a077d878693c9fd52ed3dbbed690b74f_3556,03f798c6314f9895224cd16f8bb35aa0_1763,0cad7609a72f054f1e5a773edfee880c_2028,b950933d1ddb7e03141c7b304a24a0b6_2957,f8e40b63109f8c40a69745e5931a1674_2570
WP_053109632.1,,hypothetical protein,10,10,1,78,2555,,,,548,572,556,9b7e70dc9c6ece2c05dcc2e656b22969_2588,f703f9607fd873072b58ff69da1f6298_4133,7939b8df5802c39c46adb1416b02880c_365,5b8d0eb8742d50487a1e3a28fa195a18_2447,4291979d325094cc7b4bce3cd2bb2024_3546,a077d878693c9fd52ed3dbbed690b74f_3552,03f798c6314f9895224cd16f8bb35aa0_1767,0cad7609a72f054f1e5a773edfee880c_2032,b950933d1ddb7e03141c7b304a24a0b6_2961,f8e40b63109f8c40a69745e5931a1674_2574
WP_053105738.1,,phosphoglycolate phosphatase,10,10,1,78,2515,,,,635,683,663,9b7e70dc9c6ece2c05dcc2e656b22969_2667,f703f9607fd873072b58ff69da1f6298_4054,7939b8df5802c39c46adb1416b02880c_444,5b8d0eb8742d50487a1e3a28fa195a18_2530,4291979d325094cc7b4bce3cd2bb2024_3467,a077d878693c9fd52ed3dbbed690b74f_3473,03f798c6314f9895224cd16f8bb35aa0_1846,0cad7609a72f054f1e5a773edfee880c_2111,b950933d1ddb7e03141c7b304a24a0b6_3042,f8e40b63109f8c40a69745e5931a1674_2653
WP_053104872.1,,methyltransferase,10,10,1,78,2361,,,,1220,1223,1222,9b7e70dc9c6ece2c05dcc2e656b22969_3080,f703f9607fd873072b58ff69da1f6298_3829,7939b8df5802c39c46adb1416b02880c_690,5b8d0eb8742d50487a1e3a28fa195a18_2759,4291979d325094cc7b4bce3cd2bb2024_3232,a077d878693c9fd52ed3dbbed690b74f_3070,03f798c6314f9895224cd16f8bb35aa0_2085,0cad7609a72f054f1e5a773edfee880c_2382,b950933d1ddb7e03141c7b304a24a0b6_3269,f8e40b63109f8c40a69745e5931a1674_2971
WP_053108300.1,,DUF2868 domain-containing protein,10,10,1,78,2321,,,,1418,1418,1418,9b7e70dc9c6ece2c05dcc2e656b22969_3140,f703f9607fd873072b58ff69da1f6298_3769,7939b8df5802c39c46adb1416b02880c_748,5b8d0eb8742d50487a1e3a28fa195a18_2819,4291979d325094cc7b4bce3cd2bb2024_3172,a077d878693c9fd52ed3dbbed690b74f_3010,03f798c6314f9895224cd16f8bb35aa0_2145,0cad7609a72f054f1e5a773edfee880c_2462,b950933d1ddb7e03141c7b304a24a0b6_196,f8e40b63109f8c40a69745e5931a1674_3031
WP_053103031.1,,DUF3482 domain-containing protein,10,10,1,78,2320,,,,1370,1370,1370,9b7e70dc9c6ece2c05dcc2e656b22969_3142,f703f9607fd873072b58ff69da1f6298_3767,7939b8df5802c39c46adb1416b02880c_750,5b8d0eb8742d50487a1e3a28fa195a18_2821,4291979d325094cc7b4bce3cd2bb2024_3170,a077d878693c9fd52ed3dbbed690b74f_3008,03f798c6314f9895224cd16f8bb35aa0_2147,0cad7609a72f054f1e5a773edfee880c_2464,b950933d1ddb7e03141c7b304a24a0b6_194,f8e40b63109f8c40a69745e5931a1674_3033
WP_053104885.1,,16S rRNA (uracil(1498)-N(3))-methyltransferase,10,10,1,78,2313,,,,719,719,719,9b7e70dc9c6ece2c05dcc2e656b22969_3156,f703f9607fd873072b58ff69da1f6298_3753,7939b8df5802c39c46adb1416b02880c_764,5b8d0eb8742d50487a1e3a28fa195a18_2835,4291979d325094cc7b4bce3cd2bb2024_3156,a077d878693c9fd52ed3dbbed690b74f_2994,03f798c6314f9895224cd16f8bb35aa0_2161,0cad7609a72f054f1e5a773edfee880c_2478,b950933d1ddb7e03141c7b304a24a0b6_180,f8e40b63109f8c40a69745e5931a1674_3047
WP_053103125.1,,lysoplasmalogenase,10,10,1,78,2202,,,,692,692,692,9b7e70dc9c6ece2c05dcc2e656b22969_3398,f703f9607fd873072b58ff69da1f6298_3469,7939b8df5802c39c46adb1416b02880c_1044,5b8d0eb8742d50487a1e3a28fa195a18_3085,4291979d325094cc7b4bce3cd2bb2024_2924,a077d878693c9fd52ed3dbbed690b74f_2786,03f798c6314f9895224cd16f8bb35aa0_2394,0cad7609a72f054f1e5a773edfee880c_4521,b950933d1ddb7e03141c7b304a24a0b6_1923,f8e40b63109f8c40a69745e5931a1674_3253
WP_231692533.1,,DUF4105 domain-containing protein,10,10,1,78,2180,,,,1052,1052,1052,9b7e70dc9c6ece2c05dcc2e656b22969_3438,f703f9607fd873072b58ff69da1f6298_3429,7939b8df5802c39c46adb1416b02880c_1084,5b8d0eb8742d50487a1e3a28fa195a18_3125,4291979d325094cc7b4bce3cd2bb2024_2884,a077d878693c9fd52ed3dbbed690b74f_2750,03f798c6314f9895224cd16f8bb35aa0_2430,0cad7609a72f054f1e5a773edfee880c_4559,b950933d1ddb7e03141c7b304a24a0b6_1961,f8e40b63109f8c40a69745e5931a1674_3289
mutM,,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,10,10,1,78,2176,,,,812,812,812,9b7e70dc9c6ece2c05dcc2e656b22969_3446,f703f9607fd873072b58ff69da1f6298_3421,7939b8df5802c39c46adb1416b02880c_1092,5b8d0eb8742d50487a1e3a28fa195a18_3133,4291979d325094cc7b4bce3cd2bb2024_2876,a077d878693c9fd52ed3dbbed690b74f_2742,03f798c6314f9895224cd16f8bb35aa0_2438,0cad7609a72f054f1e5a773edfee880c_4567,b950933d1ddb7e03141c7b304a24a0b6_1969,f8e40b63109f8c40a69745e5931a1674_3297
WP_053108225.1,,benzoate/H(+) symporter BenE family transporter,10,10,1,78,846,,,,1175,1175,1175,9b7e70dc9c6ece2c05dcc2e656b22969_3524,f703f9607fd873072b58ff69da1f6298_3315,7939b8df5802c39c46adb1416b02880c_1170,5b8d0eb8742d50487a1e3a28fa195a18_3205,4291979d325094cc7b4bce3cd2bb2024_2787,a077d878693c9fd52ed3dbbed690b74f_2672,03f798c6314f9895224cd16f8bb35aa0_2548,0cad7609a72f054f1e5a773edfee880c_5000,b950933d1ddb7e03141c7b304a24a0b6_1018,f8e40b63109f8c40a69745e5931a1674_3397
msrA,,peptide-methionine (S)-S-oxide reductase MsrA,10,10,1,78,963,,,,527,527,527,9b7e70dc9c6ece2c05dcc2e656b22969_3729,f703f9607fd873072b58ff69da1f6298_3114,7939b8df5802c39c46adb1416b02880c_1373,5b8d0eb8742d50487a1e3a28fa195a18_3420,4291979d325094cc7b4bce3cd2bb2024_2617,a077d878693c9fd52ed3dbbed690b74f_2476,03f798c6314f9895224cd16f8bb35aa0_2790,0cad7609a72f054f1e5a773edfee880c_4173,b950933d1ddb7e03141c7b304a24a0b6_886,f8e40b63109f8c40a69745e5931a1674_3661
WP_053104988.1,,class III extradiol ring-cleavage dioxygenase,10,10,1,78,966,,,,788,827,823,9b7e70dc9c6ece2c05dcc2e656b22969_3735,f703f9607fd873072b58ff69da1f6298_3108,7939b8df5802c39c46adb1416b02880c_1379,5b8d0eb8742d50487a1e3a28fa195a18_3426,4291979d325094cc7b4bce3cd2bb2024_2611,a077d878693c9fd52ed3dbbed690b74f_2470,03f798c6314f9895224cd16f8bb35aa0_2796,0cad7609a72f054f1e5a773edfee880c_4179,b950933d1ddb7e03141c7b304a24a0b6_892,f8e40b63109f8c40a69745e5931a1674_3667
WP_053103222.1,,DUF2218 domain-containing protein,10,10,1,78,967,,,,287,287,287,9b7e70dc9c6ece2c05dcc2e656b22969_3737,f703f9607fd873072b58ff69da1f6298_3106,7939b8df5802c39c46adb1416b02880c_1381,5b8d0eb8742d50487a1e3a28fa195a18_3428,4291979d325094cc7b4bce3cd2bb2024_2609,a077d878693c9fd52ed3dbbed690b74f_2468,03f798c6314f9895224cd16f8bb35aa0_2798,0cad7609a72f054f1e5a773edfee880c_4181,b950933d1ddb7e03141c7b304a24a0b6_894,f8e40b63109f8c40a69745e5931a1674_3669
WP_053105030.1,,DUF2271 domain-containing protein,10,10,1,78,1111,,,,509,509,509,9b7e70dc9c6ece2c05dcc2e656b22969_3958,f703f9607fd873072b58ff69da1f6298_2909,7939b8df5802c39c46adb1416b02880c_1565,5b8d0eb8742d50487a1e3a28fa195a18_3612,4291979d325094cc7b4bce3cd2bb2024_2397,a077d878693c9fd52ed3dbbed690b74f_2253,03f798c6314f9895224cd16f8bb35aa0_2980,0cad7609a72f054f1e5a773edfee880c_4386,b950933d1ddb7e03141c7b304a24a0b6_4635,f8e40b63109f8c40a69745e5931a1674_3851
WP_053106018.1,,NAD(P)/FAD-dependent oxidoreductase,10,10,1,78,1243,,,,1211,1211,1211,9b7e70dc9c6ece2c05dcc2e656b22969_4167,f703f9607fd873072b58ff69da1f6298_2686,7939b8df5802c39c46adb1416b02880c_1776,5b8d0eb8742d50487a1e3a28fa195a18_3823,4291979d325094cc7b4bce3cd2bb2024_2174,a077d878693c9fd52ed3dbbed690b74f_2042,03f798c6314f9895224cd16f8bb35aa0_3189,0cad7609a72f054f1e5a773edfee880c_1569,b950933d1ddb7e03141c7b304a24a0b6_3476,f8e40b63109f8c40a69745e5931a1674_1663
WP_053105053.1,,PaaI family thioesterase,10,10,1,78,1253,,,,503,503,503,9b7e70dc9c6ece2c05dcc2e656b22969_4183,f703f9607fd873072b58ff69da1f6298_2670,7939b8df5802c39c46adb1416b02880c_1792,5b8d0eb8742d50487a1e3a28fa195a18_3839,4291979d325094cc7b4bce3cd2bb2024_2158,a077d878693c9fd52ed3dbbed690b74f_2026,03f798c6314f9895224cd16f8bb35aa0_3205,0cad7609a72f054f1e5a773edfee880c_1551,b950933d1ddb7e03141c7b304a24a0b6_3492,f8e40b63109f8c40a69745e5931a1674_1679
folK,,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,10,10,1,78,1294,,,,551,551,551,9b7e70dc9c6ece2c05dcc2e656b22969_4248,f703f9607fd873072b58ff69da1f6298_2605,7939b8df5802c39c46adb1416b02880c_1857,5b8d0eb8742d50487a1e3a28fa195a18_3904,4291979d325094cc7b4bce3cd2bb2024_2093,a077d878693c9fd52ed3dbbed690b74f_1961,03f798c6314f9895224cd16f8bb35aa0_3270,0cad7609a72f054f1e5a773edfee880c_1486,b950933d1ddb7e03141c7b304a24a0b6_3579,f8e40b63109f8c40a69745e5931a1674_1744
WP_053105077.1,,TRAP transporter large permease subunit,10,10,1,78,1323,,,,659,1265,1143,9b7e70dc9c6ece2c05dcc2e656b22969_4303,f703f9607fd873072b58ff69da1f6298_2550,7939b8df5802c39c46adb1416b02880c_1912,5b8d0eb8742d50487a1e3a28fa195a18_3959,4291979d325094cc7b4bce3cd2bb2024_2038,a077d878693c9fd52ed3dbbed690b74f_1906,03f798c6314f9895224cd16f8bb35aa0_3333,0cad7609a72f054f1e5a773edfee880c_1421,b950933d1ddb7e03141c7b304a24a0b6_3634,f8e40b63109f8c40a69745e5931a1674_1801
WP_053103484.1,,DUF1415 domain-containing protein,10,10,1,78,1444,,,,566,569,566,9b7e70dc9c6ece2c05dcc2e656b22969_4610,f703f9607fd873072b58ff69da1f6298_2322,7939b8df5802c39c46adb1416b02880c_2140,5b8d0eb8742d50487a1e3a28fa195a18_4195,4291979d325094cc7b4bce3cd2bb2024_1806,a077d878693c9fd52ed3dbbed690b74f_1620,03f798c6314f9895224cd16f8bb35aa0_3589,0cad7609a72f054f1e5a773edfee880c_1175,b950933d1ddb7e03141c7b304a24a0b6_1527,f8e40b63109f8c40a69745e5931a1674_2033
WP_053103499.1,,protein kinase,10,10,1,78,1465,,,,731,731,731,9b7e70dc9c6ece2c05dcc2e656b22969_4640,f703f9607fd873072b58ff69da1f6298_2292,7939b8df5802c39c46adb1416b02880c_2170,5b8d0eb8742d50487a1e3a28fa195a18_4261,4291979d325094cc7b4bce3cd2bb2024_1776,a077d878693c9fd52ed3dbbed690b74f_1590,03f798c6314f9895224cd16f8bb35aa0_3619,0cad7609a72f054f1e5a773edfee880c_1149,b950933d1ddb7e03141c7b304a24a0b6_1501,f8e40b63109f8c40a69745e5931a1674_2061
WP_053103501.1,,serine/threonine protein kinase,10,10,1,78,1467,,,,1469,1469,1469,9b7e70dc9c6ece2c05dcc2e656b22969_4644,f703f9607fd873072b58ff69da1f6298_2288,7939b8df5802c39c46adb1416b02880c_2174,5b8d0eb8742d50487a1e3a28fa195a18_4257,4291979d325094cc7b4bce3cd2bb2024_1772,a077d878693c9fd52ed3dbbed690b74f_1586,03f798c6314f9895224cd16f8bb35aa0_3623,0cad7609a72f054f1e5a773edfee880c_1145,b950933d1ddb7e03141c7b304a24a0b6_1497,f8e40b63109f8c40a69745e5931a1674_2065
